Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Start Date,End Date,Time,Location,Instructor,Units
Winter 2020,Regular Academic Session,Engineering,22512,Electrical Engineering And Computer Science (EECS),203,22,Discrete Math,DIS,P RW,M,,,,,,,1/8/2020,4/21/2020,4-5PM,1006 DOW,,4
Winter 2020,Regular Academic Session,Engineering,23365,Electrical Engineering And Computer Science (EECS),203,23,Discrete Math,DIS,P RW,,,,,F,,,1/8/2020,4/21/2020,130-230PM,G906 COOL,,4
Winter 2020,Regular Academic Session,Engineering,23366,Electrical Engineering And Computer Science (EECS),203,24,Discrete Math,DIS,P RW,,,W,,,,,1/8/2020,4/21/2020,5-6PM,1010 DOW,,4
Winter 2020,Regular Academic Session,Engineering,24528,Electrical Engineering And Computer Science (EECS),203,25,Discrete Math,DIS,P RW,M,,,,,,,1/8/2020,4/21/2020,5-6PM,1010 DOW,,4
Winter 2020,Regular Academic Session,Engineering,25989,Electrical Engineering And Computer Science (EECS),203,26,Discrete Math,DIS,P RW,,T,,,,,,1/8/2020,4/21/2020,1030-1130AM,1018 DOW,,4
Winter 2020,Regular Academic Session,Engineering,25991,Electrical Engineering And Computer Science (EECS),203,27,Discrete Math,DIS,P RW,,,,,F,,,1/8/2020,4/21/2020,1030-1130AM,1005 DOW,,4
Winter 2020,Regular Academic Session,Engineering,25990,Electrical Engineering And Computer Science (EECS),203,28,Discrete Math,DIS,P RW,,,W,,,,,1/8/2020,4/21/2020,1230-130PM,2166 DOW,,4
Winter 2020,Regular Academic Session,Engineering,27789,Electrical Engineering And Computer Science (EECS),203,29,Discrete Math,DIS,P RW,,,,TH,,,,1/8/2020,4/21/2020,4-5PM,2150 DOW,,4
Winter 2020,Regular Academic Session,Engineering,30150,Electrical Engineering And Computer Science (EECS),203,30,Discrete Math,DIS,P RW,M,,,,,,,1/8/2020,4/21/2020,5-6PM,1006 DOW,,4
Winter 2020,Regular Academic Session,Engineering,30151,Electrical Engineering And Computer Science (EECS),203,31,Discrete Math,DIS,P RW,,T,,,,,,1/8/2020,4/21/2020,130-230PM,2166 DOW,,4
Winter 2020,Regular Academic Session,Engineering,34271,Electrical Engineering And Computer Science (EECS),203,32,Discrete Math,DIS,P RW,,,,TH,,,,1/8/2020,4/21/2020,1030-1130AM,1018 DOW,,4
Winter 2020,Regular Academic Session,Engineering,16191,Electrical Engineering And Computer Science (EECS),215,1,Intro to Elect Circ,LEC,S R ,M,,W,,,,,1/8/2020,4/21/2020,130-3PM,1109 FXB,Terry Jr,4
Winter 2020,Regular Academic Session,Engineering,16191,Electrical Engineering And Computer Science (EECS),215,1,Intro to Elect Circ,LEC,S R ,,,,,F,,,1/8/2020,4/21/2020,130-230PM,1109 FXB,,4
Winter 2020,Regular Academic Session,Engineering,25398,Electrical Engineering And Computer Science (EECS),215,2,Intro to Elect Circ,LEC,S R ,M,,W,,,,,1/8/2020,4/21/2020,3-430PM,1109 FXB,Terry Jr,4
Winter 2020,Regular Academic Session,Engineering,25398,Electrical Engineering And Computer Science (EECS),215,2,Intro to Elect Circ,LEC,S R ,,,,,F,,,1/8/2020,4/21/2020,3-4PM,1109 FXB,,4
Winter 2020,Regular Academic Session,Engineering,16192,Electrical Engineering And Computer Science (EECS),215,11,Intro to Elect Circ,LAB,P RW,,T,,,,,,1/8/2020,4/21/2020,6-9PM,1016 EECS,,4
Winter 2020,Regular Academic Session,Engineering,16194,Electrical Engineering And Computer Science (EECS),215,12,Intro to Elect Circ,LAB,P RW,,,W,,,,,1/8/2020,4/21/2020,6-9PM,1016 EECS,,4
Winter 2020,Regular Academic Session,Engineering,16195,Electrical Engineering And Computer Science (EECS),215,13,Intro to Elect Circ,LAB,P RW,,T,,,,,,1/8/2020,4/21/2020,3-6PM,1016 EECS,,4
Winter 2020,Regular Academic Session,Engineering,16197,Electrical Engineering And Computer Science (EECS),215,14,Intro to Elect Circ,LAB,P RW,,T,,,,,,1/8/2020,4/21/2020,12-3PM,1016 EECS,,4
Winter 2020,Regular Academic Session,Engineering,16199,Electrical Engineering And Computer Science (EECS),215,15,Intro to Elect Circ,LAB,P RW,,,W,,,,,1/8/2020,4/21/2020,3-6PM,1016 EECS,,4
Winter 2020,Regular Academic Session,Engineering,16196,Electrical Engineering And Computer Science (EECS),215,16,Intro to Elect Circ,LAB,P RW,,,,TH,,,,1/8/2020,4/21/2020,12-3PM,1016 EECS,,4
Winter 2020,Regular Academic Session,Engineering,16193,Electrical Engineering And Computer Science (EECS),215,17,Intro to Elect Circ,LAB,P RW,,T,,,,,,1/8/2020,4/21/2020,9-12PM,1016 EECS,,4
Winter 2020,Regular Academic Session,Engineering,18305,Electrical Engineering And Computer Science (EECS),216,1,Intro Signals&Syst,LEC,S R ,,T,,TH,,,,1/8/2020,4/21/2020,1030-12PM,1500 EECS,Anastasopoulos,4
Winter 2020,Regular Academic Session,Engineering,18648,Electrical Engineering And Computer Science (EECS),216,2,Intro Signals&Syst,LEC,S R ,,T,,TH,,,,1/8/2020,4/21/2020,130-3PM,1311 EECS,Anastasopoulos,4
Winter 2020,Regular Academic Session,Engineering,18307,Electrical Engineering And Computer Science (EECS),216,21,Intro Signals&Syst,DIS,S R ,,,,,F,,,1/8/2020,4/21/2020,1230-130PM,3150 DOW,,4
Winter 2020,Regular Academic Session,Engineering,18308,Electrical Engineering And Computer Science (EECS),216,22,Intro Signals&Syst,DIS,S R ,,,,,F,,,1/8/2020,4/21/2020,130-230PM,1012 FXB,,4
Winter 2020,Regular Academic Session,Engineering,18306,Electrical Engineering And Computer Science (EECS),216,23,Intro Signals&Syst,DIS,S R ,,,,,F,,,1/8/2020,4/21/2020,930-1030AM,1010 DOW,,4
Winter 2020,Regular Academic Session,Engineering,18310,Electrical Engineering And Computer Science (EECS),216,31,Intro Signals&Syst,LAB,P RW,M,,,,,,,1/8/2020,4/21/2020,6-9PM,1016 EECS,,4
Winter 2020,Regular Academic Session,Engineering,18311,Electrical Engineering And Computer Science (EECS),216,32,Intro Signals&Syst,LAB,P RW,,,,TH,,,,1/8/2020,4/21/2020,6-9PM,1016 EECS,,4
Winter 2020,Regular Academic Session,Engineering,18312,Electrical Engineering And Computer Science (EECS),216,33,Intro Signals&Syst,LAB,P RW,M,,,,,,,1/8/2020,4/21/2020,3-6PM,1016 EECS,,4
